flap_angle,chord_ratio,k_prime
0.01,0.15,0.3708
1.98,0.15,0.3711
3.96,0.15,0.3714
5.93,0.15,0.3711
7.9,0.15,0.371
9.88,0.15,0.3705
11.85,0.15,0.3694
13.83,0.15,0.3676
15.8,0.15,0.365
17.77,0.15,0.3614
19.75,0.15,0.357
21.72,0.15,0.3517
23.69,0.15,0.3458
25.67,0.15,0.3393
27.64,0.15,0.3322
29.62,0.15,0.3239
31.59,0.15,0.3149
33.56,0.15,0.3056
35.54,0.15,0.2958
37.51,0.15,0.2847
39.48,0.15,0.2722
41.46,0.15,0.2586
43.43,0.15,0.2441
45.41,0.15,0.2285
47.38,0.15,0.2121
49.35,0.15,0.1971
51.33,0.15,0.1848
53.3,0.15,0.1745
55.27,0.15,0.1655
57.25,0.15,0.1579
59.22,0.15,0.1528
61.2,0.15,0.1508
63.17,0.15,0.1492
65.14,0.15,0.1473
67.12,0.15,0.1454
69.09,0.15,0.1454
71.06,0.15,0.1454
73.04,0.15,0.1454
75.01,0.15,0.1454
76.99,0.15,0.1454
78.96,0.15,0.1454
-0.08,0.2,0.4493
1.9,0.2,0.4499
3.87,0.2,0.4499
5.84,0.2,0.4488
7.82,0.2,0.448
9.79,0.2,0.4475
11.77,0.2,0.4447
13.74,0.2,0.4413
15.71,0.2,0.4375
17.69,0.2,0.4331
19.66,0.2,0.4281
21.63,0.2,0.4219
23.61,0.2,0.4146
25.58,0.2,0.4065
27.56,0.2,0.3986
29.53,0.2,0.3916
31.5,0.2,0.3827
33.48,0.2,0.3722
35.45,0.2,0.361
37.42,0.2,0.3492
39.4,0.2,0.3362
41.37,0.2,0.3215
43.35,0.2,0.3057
45.32,0.2,0.2889
47.29,0.2,0.271
49.27,0.2,0.2525
51.24,0.2,0.2349
53.21,0.2,0.2199
55.19,0.2,0.208
57.16,0.2,0.1988
59.14,0.2,0.1921
61.11,0.2,0.1877
63.08,0.2,0.1847
65.06,0.2,0.182
67.03,0.2,0.1796
69,0.2,0.1773
70.98,0.2,0.1753
72.95,0.2,0.1738
74.93,0.2,0.1729
76.9,0.2,0.1723
78.87,0.2,0.1718
-0.08,0.25,0.5152
1.89,0.25,0.5152
3.86,0.25,0.5149
5.84,0.25,0.5139
7.81,0.25,0.5122
9.79,0.25,0.5101
11.76,0.25,0.5075
13.73,0.25,0.5044
15.71,0.25,0.5009
17.68,0.25,0.4969
19.65,0.25,0.4922
21.63,0.25,0.4868
23.6,0.25,0.4806
25.58,0.25,0.4737
27.55,0.25,0.466
29.52,0.25,0.4577
31.5,0.25,0.4488
33.47,0.25,0.4391
35.44,0.25,0.4284
37.42,0.25,0.4165
39.39,0.25,0.4033
41.37,0.25,0.3888
43.34,0.25,0.3729
45.31,0.25,0.3546
47.29,0.25,0.3337
49.26,0.25,0.3108
51.23,0.25,0.2866
53.21,0.25,0.2646
55.18,0.25,0.2478
57.16,0.25,0.235
59.13,0.25,0.2248
61.1,0.25,0.2167
63.08,0.25,0.2104
65.05,0.25,0.2056
67.02,0.25,0.2037
69,0.25,0.2025
70.97,0.25,0.2014
72.94,0.25,0.2005
74.92,0.25,0.2
76.89,0.25,0.1996
78.87,0.25,0.1993
-0.04,0.3,0.5549
1.93,0.3,0.555
3.91,0.3,0.5549
5.88,0.3,0.5545
7.85,0.3,0.5536
9.83,0.3,0.5518
11.8,0.3,0.5486
13.78,0.3,0.5444
15.75,0.3,0.5401
17.72,0.3,0.5361
19.7,0.3,0.5323
21.67,0.3,0.5287
23.64,0.3,0.5239
25.62,0.3,0.5163
27.59,0.3,0.508
29.57,0.3,0.5018
31.54,0.3,0.493
33.51,0.3,0.4814
35.49,0.3,0.4686
37.46,0.3,0.4551
39.43,0.3,0.4411
41.41,0.3,0.4264
43.38,0.3,0.4108
45.36,0.3,0.3938
47.33,0.3,0.3736
49.3,0.3,0.3484
51.28,0.3,0.3223
53.25,0.3,0.2986
55.22,0.3,0.2784
57.2,0.3,0.2635
59.17,0.3,0.2538
61.15,0.3,0.2471
63.12,0.3,0.2415
65.09,0.3,0.2357
67.07,0.3,0.2299
69.04,0.3,0.226
71.01,0.3,0.2232
72.99,0.3,0.2211
74.96,0.3,0.2191
76.94,0.3,0.2173
78.91,0.3,0.2156
0.37,0.4,0.6005
2.34,0.4,0.6008
4.32,0.4,0.6011
6.29,0.4,0.6014
8.26,0.4,0.6017
10.24,0.4,0.6014
12.21,0.4,0.5998
14.19,0.4,0.5968
16.16,0.4,0.5929
18.13,0.4,0.5885
20.11,0.4,0.5837
22.08,0.4,0.5785
24.05,0.4,0.5728
26.03,0.4,0.5663
28,0.4,0.559
29.98,0.4,0.5507
31.95,0.4,0.5414
33.92,0.4,0.5313
35.9,0.4,0.5205
37.87,0.4,0.509
39.84,0.4,0.4963
41.82,0.4,0.4819
43.79,0.4,0.4655
45.77,0.4,0.4472
47.74,0.4,0.4268
49.71,0.4,0.4035
51.69,0.4,0.3763
53.66,0.4,0.3482
55.63,0.4,0.3251
57.61,0.4,0.3074
59.58,0.4,0.293
61.56,0.4,0.2817
63.53,0.4,0.2734
65.5,0.4,0.2665
67.48,0.4,0.2602
69.45,0.4,0.254
71.42,0.4,0.2479
73.4,0.4,0.2436
75.37,0.4,0.2399
77.35,0.4,0.2368
79.32,0.4,0.2357
