X_PLAIN_FLAP,Y_PLAIN_FLAP,X_SINGLE_SLOT,Y_SINGLE_SLOT
0.97561,1.0102,0.97561,1.00705
1.98374,1.00626,1.98374,1.00629
2.99187,0.99287,2.99187,1.00864
3.96748,0.98265,3.96748,1.00782
5.00813,0.95664,5.00813,1.01018
5.98374,0.92437,5.98374,1.02516
7.02439,0.87001,7.02439,1.04956
8,0.8283,8,1.08341
9.00813,0.8149,9.00813,1.12359
10.01626,0.82356,10.01626,1.17004
10.99187,0.86059,10.99187,1.22911
12,0.91963,12,1.30704
13.04065,0.99126,13.04065,1.37868
14.01626,1.08183,14.01626,1.46925
15.02439,1.18812,15.02439,1.5724
16,1.31333,16,1.65667
16.97561,1.4291,16.97561,1.70944
17.98374,1.51335,17.98374,1.72125
18.99187,1.56925,18.99187,1.711
19.96748,1.59682,19.96748,1.66929
