TAPER_RATIO,ASPECT_RATIO,SPAN_RATIO,CORRELATION_CONSTANT
1,3,-0.0101694915254236,-0.359999999999999
1,3,0.0915254237288136,-0.359999999999999
1,3,0.183050847457627,-0.361666666666666
1,3,0.291525423728813,-0.361666666666666
1,3,0.386440677966101,-0.361666666666666
1,3,0.484745762711864,-0.361666666666666
1,3,0.586440677966101,-0.361666666666666
1,3,0.694915254237288,-0.360833333333333
1,3,0.79322033898305,-0.361666666666666
1,3,0.901694915254237,-0.362499999999999
1,4,-0.00338983050847449,-0.261666666666666
1,4,0.0677966101694916,-0.262499999999999
1,4,0.132203389830508,-0.264166666666666
1,4,0.19322033898305,-0.265833333333333
1,4,0.264406779661016,-0.269999999999999
1,4,0.328813559322033,-0.274166666666666
1,4,0.396610169491525,-0.279166666666666
1,4,0.464406779661016,-0.284166666666666
1,4,0.528813559322034,-0.289166666666666
1,4,0.596610169491525,-0.295833333333333
1,4,0.667796610169491,-0.303333333333333
1,4,0.732203389830508,-0.311666666666666
1,4,0.79322033898305,-0.316666666666666
1,4,0.854237288135593,-0.321666666666666
1,4,0.908474576271186,-0.328333333333333
1,6,-0.0101694915254236,-0.181666666666666
1,6,0.0711864406779661,-0.183333333333333
1,6,0.149152542372881,-0.188333333333333
1,6,0.230508474576271,-0.193333333333333
1,6,0.332203389830508,-0.198333333333333
1,6,0.386440677966101,-0.202499999999999
1,6,0.457627118644067,-0.208333333333333
1,6,0.528813559322034,-0.214166666666666
1,6,0.586440677966101,-0.219166666666666
1,6,0.657627118644067,-0.226666666666666
1,6,0.732203389830508,-0.236666666666666
1,6,0.79322033898305,-0.248333333333333
1,6,0.840677966101695,-0.256666666666666
1,6,0.888135593220339,-0.271666666666666
1,8,0.00338983050847463,-0.144166666666666
1,8,0.0677966101694916,-0.144999999999999
1,8,0.149152542372881,-0.149166666666666
1,8,0.203389830508474,-0.150833333333333
1,8,0.281355932203389,-0.155833333333333
1,8,0.362711864406779,-0.159166666666666
