X_PLAIN_FLAP,Y_PLAIN_FLAP,X_SINGLE_SLOT,Y_SINGLE_SLOT
0,0,0,0.1798
2.92929,0.09899,0.80808,0.2
5.05051,0.16768,4.14141,0.29495
5.9596,0.19798,5.05051,0.32323
8.9899,0.29899,7.37374,0.4
10,0.32929,10.20202,0.46869
12.62626,0.39798,11.51515,0.49899
15.15152,0.46061,15.05051,0.5899
16.86869,0.49899,15.55556,0.59798
20.10101,0.57374,20,0.69495
21.11111,0.59596,24.94949,0.78788
24.94949,0.67071,25.65657,0.79596
26.36364,0.69697,30.10101,0.86465
29.89899,0.75758,32.12121,0.89495
32.82828,0.79394,34.94949,0.92525
34.94949,0.8202, 39.69697,0.96768
39.79798,0.87071,45.0,1.
42.62626,0.89697,,
44.84848,0.91111,,
49.79798,0.94141,,
54.84848,0.97172,,
60.0,1.0,,

