X_0_25_RATIO,K_FUS
0.092,0.00090757
0.108,0.00139626
0.124,0.00202458
0.138,0.002408554
0.154,0.002687807
0.168,0.002932153
0.184,0.003211406
0.202,0.003525565
0.228,0.003979351
0.248,0.004328417
0.27,0.004712389
0.3,0.005235988
0.328,0.00572468
0.348,0.006073746
0.368,0.006422812
0.386,0.006736971
0.412,0.007190757
0.426,0.007435103
0.442,0.007714355
0.456,0.007958701
0.466,0.008133234
0.478,0.008342674
0.492,0.00858702
0.504,0.0289
0.52,0.009075712
0.534,0.009320058
0.548,0.009564404
0.56,0.00984366
0.58,0.01012291
0.59,0.010297443
