,0
mach,0.1194
reynolds,2299300
cl_max_2d,1.5705
cl_min_2d,-1.5691
cd_min_2d,0.00514
alpha,"[-20.0, -19.5, -19.0, -18.5, -18.0, -17.5, -17.0, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0]"
cl,"[-1.257, -1.3666, -1.4574, -1.5145, -1.5459, -1.5598, -1.5619, -1.5691, -1.5633, -1.5484, -1.5278, -1.5033, -1.4716, -1.4358, -1.395, -1.3507, -1.3063, -1.259, -1.2114, -1.1651, -1.1186, -1.0744, -1.0317, -0.9804, -0.9153, -0.8493, -0.7831, -0.7202, -0.658, -0.6027, -0.549, -0.4958, -0.4423, -0.3881, -0.3336, -0.279, -0.2236, -0.1681, -0.1122, -0.056, 0.0, 0.056, 0.1122, 0.1681, 0.2236, 0.2789, 0.3336, 0.3881, 0.4423, 0.4958, 0.549, 0.6027, 0.658, 0.7203, 0.7832, 0.8495, 0.9154, 0.9805, 1.0316, 1.0744, 1.1185, 1.1651, 1.2115, 1.2591, 1.3064, 1.3509, 1.3953, 1.4361, 1.472, 1.5039, 1.5286, 1.5494, 1.5645, 1.5705, 1.5635, 1.5618, 1.5488, 1.5172, 1.4613, 1.3707, 1.2584]"
cd,"[0.12541, 0.09885, 0.07695, 0.06125, 0.05001, 0.0418, 0.03574, 0.03003, 0.02631, 0.02375, 0.02184, 0.02035, 0.01914, 0.01781, 0.01673, 0.01585, 0.0149, 0.0142, 0.01351, 0.0128, 0.01227, 0.01167, 0.0111, 0.01061, 0.01005, 0.00952, 0.00898, 0.00841, 0.00796, 0.00752, 0.00717, 0.0068, 0.00647, 0.00615, 0.00587, 0.0056, 0.00544, 0.00532, 0.00524, 0.00519, 0.00514, 0.00519, 0.00524, 0.00532, 0.00544, 0.0056, 0.00587, 0.00615, 0.00647, 0.0068, 0.00717, 0.00752, 0.00796, 0.00841, 0.00898, 0.00952, 0.01005, 0.01061, 0.01109, 0.01167, 0.01227, 0.0128, 0.01351, 0.0142, 0.0149, 0.01585, 0.01673, 0.01781, 0.01915, 0.02035, 0.02184, 0.02374, 0.02629, 0.03, 0.0357, 0.04173, 0.04985, 0.06114, 0.07668, 0.09854, 0.12558]"
cdp,"[0.12314, 0.09625, 0.07402, 0.05803, 0.04654, 0.03811, 0.03186, 0.02591, 0.02202, 0.01933, 0.0173, 0.0157, 0.01439, 0.01296, 0.01183, 0.0109, 0.00991, 0.00918, 0.00844, 0.00772, 0.00717, 0.00652, 0.00594, 0.00543, 0.00486, 0.00435, 0.00385, 0.00338, 0.003, 0.00265, 0.00235, 0.00205, 0.00178, 0.00154, 0.00132, 0.00115, 0.00102, 0.00092, 0.00085, 0.00081, 0.0008, 0.00081, 0.00085, 0.00092, 0.00102, 0.00115, 0.00132, 0.00154, 0.00178, 0.00205, 0.00235, 0.00265, 0.003, 0.00338, 0.00385, 0.00435, 0.00486, 0.00543, 0.00593, 0.00652, 0.00717, 0.00772, 0.00844, 0.00918, 0.00991, 0.0109, 0.01183, 0.01296, 0.01439, 0.0157, 0.0173, 0.01932, 0.022, 0.02588, 0.03182, 0.03804, 0.04638, 0.05793, 0.07374, 0.09594, 0.12332]"
cm,"[0.0096, -0.0048, -0.0163, -0.0243, -0.0297, -0.0329, -0.0342, -0.0338, -0.0315, -0.0283, -0.0246, -0.0206, -0.0172, -0.0144, -0.0122, -0.0104, -0.0086, -0.0072, -0.0057, -0.0039, -0.002, 0.0004, 0.0031, 0.0041, 0.0021, -0.0001, -0.0024, -0.0039, -0.0052, -0.0049, -0.0041, -0.0033, -0.0025, -0.0019, -0.0014, -0.001, -0.0007, -0.0004, -0.0003, -0.0001, -0.0, 0.0001, 0.0003, 0.0004, 0.0007, 0.001, 0.0014, 0.0019, 0.0025, 0.0033, 0.0041, 0.0049, 0.0052, 0.0039, 0.0024, 0.0001, -0.0021, -0.0041, -0.0031, -0.0004, 0.002, 0.0039, 0.0057, 0.0072, 0.0086, 0.0104, 0.0122, 0.0143, 0.0171, 0.0205, 0.0245, 0.0282, 0.0313, 0.0336, 0.034, 0.0326, 0.0294, 0.024, 0.0161, 0.0046, -0.0101]"
