,0
mach,0.1179
reynolds,3975473
cl_max_2d,1.6742
cl_min_2d,-1.3423
cd_min_2d,0.00734
alpha,"[-19.5, -19.0, -18.5, -18.0, -17.5, -16.5, -16.0, -15.5, -15.0, -14.5, -14.0, -13.5, -13.0, -12.5, -12.0, -11.5, -11.0, -10.5, -10.0, -9.5, -9.0, -8.5, -8.0, -7.5, -7.0, -6.5, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0]"
cl,"[-0.8121, -0.804, -0.8005, -0.798, -0.8008, -1.2703, -1.3125, -1.3334, -1.3423, -1.3415, -1.3212, -1.2912, -1.2554, -1.2156, -1.173, -1.1293, -1.0865, -1.0457, -0.9867, -0.9247, -0.8615, -0.8039, -0.7501, -0.6982, -0.6449, -0.5915, -0.5375, -0.4827, -0.4272, -0.3713, -0.3151, -0.2589, -0.2028, -0.1466, -0.0907, -0.0344, 0.0221, 0.0765, 0.1339, 0.191, 0.2481, 0.3014, 0.3563, 0.4112, 0.466, 0.522, 0.5774, 0.6325, 0.6871, 0.7401, 0.7937, 0.8552, 0.9193, 0.9832, 1.0465, 1.0958, 1.1416, 1.19, 1.2394, 1.2884, 1.3362, 1.3827, 1.4261, 1.469, 1.5229, 1.5687, 1.6011, 1.6253, 1.6477, 1.6639, 1.6742, 1.6853, 1.6877, 1.6791, 1.6556, 1.6117, 1.5456, 1.4655, 1.3915]"
cd,"[0.20657, 0.19788, 0.18787, 0.17801, 0.16714, 0.05178, 0.04064, 0.03408, 0.02966, 0.02648, 0.02372, 0.02144, 0.01951, 0.01786, 0.01644, 0.01522, 0.01417, 0.01327, 0.01232, 0.01148, 0.0107, 0.01004, 0.00945, 0.00895, 0.00853, 0.0082, 0.00797, 0.00781, 0.0077, 0.00761, 0.00753, 0.00742, 0.00748, 0.00759, 0.00771, 0.00787, 0.00805, 0.00861, 0.00862, 0.00871, 0.00872, 0.008, 0.00774, 0.00749, 0.00734, 0.00743, 0.00755, 0.00774, 0.00797, 0.00823, 0.00854, 0.00891, 0.00932, 0.00978, 0.01028, 0.01076, 0.0113, 0.01181, 0.01239, 0.01304, 0.01378, 0.0146, 0.01562, 0.01658, 0.01657, 0.01716, 0.01853, 0.01987, 0.02145, 0.02366, 0.02667, 0.03012, 0.03499, 0.04181, 0.05125, 0.06407, 0.08062, 0.09992, 0.11901]"
cdp,"[0.20554, 0.19683, 0.18678, 0.17689, 0.16599, 0.04966, 0.03822, 0.03139, 0.02673, 0.02333, 0.02036, 0.01789, 0.01579, 0.014, 0.01245, 0.01112, 0.00998, 0.009, 0.00799, 0.00709, 0.00627, 0.00557, 0.00493, 0.00438, 0.0039, 0.00347, 0.00308, 0.00274, 0.00245, 0.00218, 0.00194, 0.00171, 0.00156, 0.00145, 0.00135, 0.00131, 0.0013, 0.00146, 0.00148, 0.00155, 0.00161, 0.00162, 0.00172, 0.00185, 0.00202, 0.00222, 0.00245, 0.0027, 0.00297, 0.00327, 0.00358, 0.00394, 0.00433, 0.00478, 0.00528, 0.00577, 0.00634, 0.00687, 0.00747, 0.00815, 0.00892, 0.00979, 0.01088, 0.0119, 0.0118, 0.01225, 0.01371, 0.01513, 0.01681, 0.01913, 0.02227, 0.02585, 0.03086, 0.03785, 0.0475, 0.06057, 0.0774, 0.09699, 0.11633]"
cm,"[0.0509, 0.0458, 0.0402, 0.0347, 0.0289, -0.0426, -0.0473, -0.0462, -0.0419, -0.0359, -0.0318, -0.0285, -0.0258, -0.0233, -0.0211, -0.0188, -0.0162, -0.013, -0.0137, -0.0149, -0.0163, -0.0164, -0.0156, -0.0143, -0.0133, -0.0123, -0.0114, -0.0108, -0.0103, -0.01, -0.0098, -0.0096, -0.0094, -0.0093, -0.0091, -0.009, -0.009, -0.0087, -0.0087, -0.0087, -0.0088, -0.0085, -0.0084, -0.0082, -0.0078, -0.0077, -0.0074, -0.007, -0.0066, -0.0057, -0.0051, -0.0063, -0.0082, -0.0101, -0.0119, -0.0106, -0.0087, -0.0074, -0.0063, -0.0053, -0.0042, -0.003, -0.0013, 0.0003, 0.0005, 0.0017, 0.0047, 0.009, 0.0128, 0.0164, 0.0191, 0.0205, 0.0207, 0.0191, 0.0156, 0.0102, 0.0029, -0.0059, -0.0151]"
