,0
mach,0.1284
reynolds,2993524
cl_max_2d,1.637
cl_min_2d,0.1336
cd_min_2d,0.00753
alpha,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0]"
cl,"[0.1336, 0.1907, 0.2435, 0.2982, 0.3529, 0.4077, 0.462, 0.5174, 0.5721, 0.6262, 0.6798, 0.7357, 0.7993, 0.8657, 0.931, 0.9961, 1.0459, 1.0916, 1.1385, 1.1867, 1.235, 1.2824, 1.3307, 1.3771, 1.4212, 1.4619, 1.4919, 1.5468, 1.5864, 1.6059, 1.6202, 1.637, 1.6463, 1.6461, 1.6339, 1.6104, 1.5689, 1.4999, 1.4279, 1.3627, 1.31, 1.2739, 1.2398, 1.215, 1.1956, 1.1829, 1.1712, 1.164, 1.1584, 1.1493, 1.1511]"
cd,"[0.00901, 0.00898, 0.00823, 0.00796, 0.00767, 0.00753, 0.00754, 0.00768, 0.00787, 0.00809, 0.00836, 0.00866, 0.00903, 0.00943, 0.00986, 0.01032, 0.01079, 0.01125, 0.0118, 0.01241, 0.01311, 0.0139, 0.01458, 0.01538, 0.0163, 0.01739, 0.01909, 0.0189, 0.01947, 0.02119, 0.02349, 0.02595, 0.02945, 0.0345, 0.04176, 0.05134, 0.06398, 0.08112, 0.09929, 0.11703, 0.13344, 0.14763, 0.16203, 0.1753, 0.18797, 0.19945, 0.21127, 0.22233, 0.23335, 0.24591, 0.25523]"
cdp,"[0.00156, 0.00159, 0.00157, 0.00166, 0.00178, 0.00194, 0.00215, 0.00237, 0.00261, 0.00287, 0.00315, 0.00345, 0.0038, 0.00418, 0.00458, 0.00503, 0.00551, 0.00599, 0.00655, 0.0072, 0.00794, 0.0088, 0.00951, 0.01036, 0.01134, 0.01251, 0.01436, 0.01406, 0.01451, 0.01633, 0.01876, 0.02136, 0.025, 0.03022, 0.0377, 0.0475, 0.0604, 0.07783, 0.09627, 0.11425, 0.13086, 0.1452, 0.15977, 0.17318, 0.18598, 0.19757, 0.2095, 0.22066, 0.23177, 0.24444, 0.25382]"
cm,"[-0.0087, -0.0087, -0.0083, -0.0081, -0.0078, -0.0075, -0.0069, -0.0065, -0.006, -0.0054, -0.0046, -0.0044, -0.0061, -0.0084, -0.0105, -0.0127, -0.0115, -0.0095, -0.0077, -0.0064, -0.0052, -0.0039, -0.0028, -0.0015, 0.0, 0.002, 0.0053, 0.0054, 0.0077, 0.0122, 0.0162, 0.0189, 0.0207, 0.0211, 0.0195, 0.0158, 0.0103, 0.0027, -0.0056, -0.014, -0.0224, -0.0302, -0.0387, -0.0469, -0.0552, -0.063, -0.0713, -0.0792, -0.0872, -0.0962, -0.1034]"
