,0
mach,0.1179
reynolds,4255101
cl_max_2d,1.356
cl_min_2d,0.7503
cd_min_2d,0.0
alpha,"[5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0]"
cl,"[0.7503, 0.811, 0.8717, 0.9323, 0.9929, 1.0535, 1.1141, 1.1746, 1.2351, 1.2955, 1.356]"
cd,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cdp,"[-0.00185, -0.00195, -0.00207, -0.00221, -0.00238, -0.00258, -0.00281, -0.00308, -0.00339, -0.00374, -0.00415]"
cm,"[-0.0171, -0.0179, -0.0186, -0.0194, -0.0201, -0.0209, -0.0216, -0.0224, -0.0231, -0.0239, -0.0246]"
