,0
mach,0.1179
reynolds,3975473
cl_max_2d,1.4776
cl_min_2d,-1.7
cd_min_2d,0.00795
alpha,"[-6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 4.5, 5.0, 5.5, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.5, 11.0, 11.5, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0]"
cl,"[-0.3476, -0.2903, -0.2325, -0.1745, -0.1163, -0.058, 0.0005, 0.0585, 0.1172, 0.1755, 0.2307, 0.2865, 0.3313, 0.3867, 0.4439, 0.501, 0.5582, 0.615, 0.6716, 0.7836, 0.8388, 0.8933, 0.9477, 1.0522, 1.1027, 1.1512, 1.199, 1.2453, 1.2882, 1.3256, 1.3614, 1.3886, 1.4186, 1.4599, 1.4776, 1.5005, 1.5162, 1.526, 1.5425, 1.5615, 1.568, 1.5799, 1.5809, 1.576, 1.5737, 1.5508, 1.543, 1.5169, 1.5024]"
cd,"[0.00833, 0.00799, 0.00772, 0.00747, 0.00726, 0.00709, 0.00695, 0.00687, 0.00679, 0.00673, 0.007, 0.00713, 0.00837, 0.00808, 0.00795, 0.008, 0.00817, 0.00833, 0.00853, 0.00903, 0.00933, 0.00966, 0.00997, 0.01085, 0.01136, 0.01194, 0.01251, 0.0131, 0.01378, 0.01454, 0.01713, 0.01827, 0.01932, 0.02289, 0.02538, 0.02764, 0.03062, 0.03432, 0.03763, 0.04088, 0.04563, 0.05007, 0.05605, 0.06313, 0.07029, 0.08082, 0.08971, 0.10201, 0.11283]"
cdp,"[0.00311, 0.00274, 0.00243, 0.00214, 0.00188, 0.00165, 0.00147, 0.00133, 0.00122, 0.00114, 0.00117, 0.0012, 0.00169, 0.00172, 0.00183, 0.00199, 0.00218, 0.00238, 0.0026, 0.00312, 0.00344, 0.00378, 0.00408, 0.005, 0.00555, 0.00621, 0.00682, 0.00745, 0.00819, 0.00903, 0.01195, 0.01319, 0.01435, 0.01826, 0.02084, 0.02315, 0.02623, 0.03005, 0.03344, 0.03673, 0.04161, 0.04612, 0.05225, 0.05949, 0.06681, 0.07759, 0.08662, 0.09915, 0.11013]"
cm,"[-0.0719, -0.0723, -0.0727, -0.0732, -0.0737, -0.0742, -0.0747, -0.0751, -0.0757, -0.0762, -0.0762, -0.0765, -0.0751, -0.0757, -0.0764, -0.0768, -0.0771, -0.0774, -0.0777, -0.0779, -0.0778, -0.0777, -0.0776, -0.0766, -0.0758, -0.0747, -0.0735, -0.072, -0.07, -0.0671, -0.0553, -0.0517, -0.0487, -0.0418, -0.0389, -0.0369, -0.0348, -0.0328, -0.0316, -0.0309, -0.0302, -0.0302, -0.0306, -0.0317, -0.0335, -0.0368, -0.0402, -0.0456, -0.0509]"
