,0
mach,0.1285
reynolds,4544361
cl_max_2d,1.4563
cl_min_2d,-1.7
cd_min_2d,0.00788
alpha,"[-5.5, -5.0, -4.5, -4.0, -3.5, -3.0, -2.5, -2.0, -1.5, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0]"
cl,"[-0.2911, -0.2331, -0.1749, -0.1166, -0.0581, 0.0004, 0.0589, 0.1174, 0.1757, 0.2299, 0.2812, 0.3302, 0.3885, 0.4459, 0.5031, 0.5605, 0.6177, 0.6745, 0.731, 0.787, 0.8424, 0.8972, 0.9521, 1.0047, 1.057, 1.1074, 1.1576, 1.2059, 1.2527, 1.2966, 1.3349, 1.356, 1.412, 1.4371, 1.4563, 1.4781, 1.497, 1.5212, 1.5383, 1.5507, 1.5681, 1.5799, 1.5849, 1.5816, 1.5941, 1.5724, 1.5637, 1.5892, 1.582, 1.5799, 1.5846]"
cd,"[0.00784, 0.0076, 0.00736, 0.00714, 0.00697, 0.00684, 0.00672, 0.00668, 0.00667, 0.00704, 0.00772, 0.00863, 0.00818, 0.0079, 0.00788, 0.00805, 0.00818, 0.00836, 0.00858, 0.00884, 0.00914, 0.00947, 0.00974, 0.01019, 0.01063, 0.01117, 0.01165, 0.0122, 0.01278, 0.01345, 0.01428, 0.01531, 0.01723, 0.01852, 0.01999, 0.02184, 0.02417, 0.02626, 0.02905, 0.03243, 0.03555, 0.03942, 0.04423, 0.0503, 0.05494, 0.06414, 0.07228, 0.07586, 0.08433, 0.09238, 0.09947]"
cdp,"[0.00269, 0.00241, 0.00212, 0.00185, 0.00162, 0.00144, 0.00128, 0.0012, 0.00112, 0.00119, 0.00143, 0.00178, 0.00175, 0.00181, 0.00196, 0.00212, 0.00232, 0.00254, 0.00278, 0.00305, 0.00336, 0.0037, 0.00395, 0.00442, 0.00489, 0.00548, 0.006, 0.00661, 0.00723, 0.00794, 0.00885, 0.01003, 0.01213, 0.01354, 0.01531, 0.01726, 0.01967, 0.0218, 0.02467, 0.02816, 0.03134, 0.0353, 0.04024, 0.0465, 0.05121, 0.06068, 0.069, 0.07254, 0.08116, 0.08931, 0.09645]"
cm,"[-0.0725, -0.0729, -0.0734, -0.0738, -0.0743, -0.0748, -0.0754, -0.0759, -0.0764, -0.0763, -0.0757, -0.0749, -0.0758, -0.0766, -0.0771, -0.0774, -0.0778, -0.078, -0.0782, -0.0783, -0.0783, -0.0782, -0.0782, -0.0777, -0.0771, -0.0763, -0.0754, -0.0742, -0.0728, -0.071, -0.0682, -0.0623, -0.0543, -0.0505, -0.0462, -0.043, -0.04, -0.0379, -0.0356, -0.0335, -0.0321, -0.031, -0.0301, -0.0298, -0.0302, -0.0316, -0.0337, -0.0349, -0.0378, -0.041, -0.0441]"
