,0
mach,0.1284
reynolds,2993524
cl_max_2d,3.0692
cl_min_2d,0.6103
cd_min_2d,0.0
alpha,"[5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0, 9.5, 10.0, 10.5, 11.0, 11.5, 12.0, 12.5, 13.0, 13.5, 14.0, 14.5, 15.0, 15.5, 16.0, 16.5, 17.0, 17.5, 18.0, 18.5, 19.0, 19.5, 20.0, 20.5, 21.0, 21.5, 22.0, 22.5, 23.0, 23.5, 24.0, 24.5, 25.0]"
cl,"[0.6103, 0.6713, 0.7323, 0.7933, 0.8543, 0.9153, 0.9763, 1.0372, 1.0982, 1.1592, 1.2201, 1.2811, 1.342, 1.403, 1.464, 1.525, 1.586, 1.647, 1.708, 1.7691, 1.8302, 1.8913, 1.9525, 2.0137, 2.075, 2.1363, 2.1977, 2.2592, 2.3207, 2.3824, 2.4441, 2.5059, 2.5679, 2.63, 2.6922, 2.7546, 2.8171, 2.8798, 2.9427, 3.0058, 3.0692]"
cd,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cdp,"[-0.00159, -0.00172, -0.00187, -0.00205, -0.00226, -0.00251, -0.0028, -0.00314, -0.00353, -0.00398, -0.00449, -0.00506, -0.00572, -0.00645, -0.00727, -0.00819, -0.00921, -0.01034, -0.01158, -0.01295, -0.01445, -0.0161, -0.01789, -0.01983, -0.02195, -0.02423, -0.0267, -0.02936, -0.03222, -0.03529, -0.03858, -0.0421, -0.04585, -0.04985, -0.05411, -0.05863, -0.06342, -0.0685, -0.07387, -0.07953, -0.08551]"
cm,"[-0.0069, -0.0076, -0.0082, -0.0088, -0.0095, -0.0101, -0.0107, -0.0112, -0.0118, -0.0124, -0.0129, -0.0134, -0.0139, -0.0144, -0.0148, -0.0153, -0.0157, -0.0161, -0.0164, -0.0168, -0.0171, -0.0174, -0.0176, -0.0179, -0.0181, -0.0183, -0.0184, -0.0186, -0.0187, -0.0187, -0.0188, -0.0188, -0.0187, -0.0187, -0.0186, -0.0185, -0.0183, -0.0182, -0.0179, -0.0177, -0.0174]"
