,0
cl_0_wing,0.0032894622087335417
cl_X_wing,0.8443010583517955
cl_alpha_wing,4.765992059087747
cm_0_wing,-0.017848009290465313
y_vector_wing,"[0.09981666666666666, 0.29945, 0.4990833333333333, 0.7922961068298893, 1.1790883204896678, 1.5658805341494464, 1.9526727478092245, 2.339464961469003, 2.7262571751287816, 3.11304938878856, 3.389329541402688, 3.5550976329711643, 3.7208657245396406, 3.8866338161081173, 4.052401907676593, 4.21816999924507, 4.3839380908135475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_wing,"[1.034066995144714, 1.032325975872756, 1.0285925367084308, 1.0211272399565972, 1.0003588564488808, 0.9725117454521689, 0.9385889122123197, 0.8983115908887704, 0.8504417086094866, 0.7930989597913521, 0.7403165341156781, 0.6957565222454393, 0.6469369728968412, 0.5898888702469947, 0.5199028767511127, 0.42859122798522403, 0.29502890511207325, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
chord_vector_wing,"[1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coef_k_wing,0.05237606679780689
cl_0_htp,-0.00039552599953238175
cl_X_htp,0.1605611009648334
cl_alpha_htp,0.9222135409719743
cl_alpha_htp_isolated,1.4952532061836399
y_vector_htp,"[0.05763505277136889, 0.1729051583141067, 0.28817526385684444, 0.40344536939958225, 0.51871547494232, 0.6339855804850578, 0.7492556860277957, 0.8645257915705333, 0.9797958971132712, 1.0950660026560088, 1.2103361081987467, 1.3256062137414846, 1.4408763192842224, 1.55614642482696, 1.6714165303696977, 1.7866866359124356, 1.9019567414551735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_htp,"[0.19287812419010847, 0.192445810560531, 0.1915714302868911, 0.19023494030172283, 0.18840487401180891, 0.18603648051888497, 0.18306890571928372, 0.17942102859035292, 0.17498530179189953, 0.16961846398757502, 0.1631270449256704, 0.15524356393809327, 0.14558456419694218, 0.13356896022985862, 0.11823549079476121, 0.09774015414473897, 0.06737357821304381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coef_k_htp,0.23218529149453626
saved_ref_area,10.0
