,0
cl_0_wing,0.003209119725132193
cl_X_wing,0.8236796802568807
cl_alpha_wing,4.649586514790941
cm_0_wing,-0.017412085938031376
y_vector_wing,"[0.09981666666666666, 0.29945, 0.4990833333333333, 0.7922961068298893, 1.1790883204896678, 1.5658805341494464, 1.9526727478092245, 2.339464961469003, 2.7262571751287816, 3.11304938878856, 3.389329541402688, 3.5550976329711643, 3.7208657245396406, 3.8866338161081173, 4.052401907676593, 4.21816999924507, 4.3839380908135475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_wing,"[1.008810735814684, 1.0071122395460108, 1.003469986647343, 0.9961870237980762, 0.9759258914473924, 0.9487589238652051, 0.9156646286964266, 0.8763710487331983, 0.8296703500431986, 0.7737281520033479, 0.7222348948604597, 0.6787632256419329, 0.6311360547412622, 0.5754813063726913, 0.5072046647945295, 0.41812323002049256, 0.287823060063008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
chord_vector_wing,"[1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 1.1193640237057474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coef_k_wing,0.050234264141572726
cl_0_htp,-0.0003764411348183526
cl_X_htp,0.159032055286216
cl_alpha_htp,0.9133434063451558
cl_alpha_htp_isolated,1.4587328424966162
y_vector_htp,"[0.05763505277136889, 0.1729051583141067, 0.28817526385684444, 0.40344536939958225, 0.51871547494232, 0.6339855804850578, 0.7492556860277957, 0.8645257915705333, 0.9797958971132712, 1.0950660026560088, 1.2103361081987467, 1.3256062137414846, 1.4408763192842224, 1.55614642482696, 1.6714165303696977, 1.7866866359124356, 1.9019567414551735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_htp,"[0.19104131900802823, 0.19061312236122652, 0.18974706893245022, 0.18842330652715072, 0.18661066821285077, 0.18426482926030963, 0.18132551508794648, 0.17771237719988173, 0.1733188924441892, 0.16800316378213653, 0.1615735634061095, 0.1537651579035913, 0.14419814215934376, 0.13229696445871839, 0.11710951778403476, 0.09680936107328922, 0.06673197026441487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coef_k_htp,0.23398699368525
saved_ref_area,10.0
