,0
cl_0_wing,-0.00046582858683675605
cl_X_wing,0.8197892811303906
cl_alpha_wing,4.648365560316781
cm_0_wing,-0.022397027837672456
y_vector_wing,"[0.09981666666666666, 0.29945, 0.4990833333333333, 0.857805623340574, 1.3756168700217217, 1.8934281167028697, 2.4112393633840172, 2.929050610065165, 3.446861856746313, 3.9646731034274607, 4.334538279628281, 4.556457385348773, 4.778376491069265, 5.000295596789757, 5.222214702510248, 5.44413380823074, 5.666052913951233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_wing,"[1.0052021792439212, 1.0040352216848378, 1.0015040893468197, 0.9961000275842709, 0.9769265271348827, 0.9505857319801885, 0.9181922635892155, 0.8795447559068323, 0.8334719562141879, 0.778137905544433, 0.7270309560745708, 0.6838462724122136, 0.6364441588622889, 0.5809114749908582, 0.5125704638766363, 0.42307567062806495, 0.29162976173238037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
chord_vector_wing,"[1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 1.4476913837392502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coef_k_wing,0.04918682853985913
cl_0_htp,3.377038935180398e-05
cl_X_htp,0.0984721841321085
cl_alpha_htp,0.564010564942256
cl_alpha_htp_isolated,0.9009973967312377
y_vector_htp,"[0.058567114441223346, 0.17570134332367005, 0.2928355722061167, 0.4099698010885634, 0.5271040299710101, 0.6442382588534568, 0.7613724877359035, 0.8785067166183502, 0.9956409455007968, 1.1127751743832435, 1.2299094032656903, 1.347043632148137, 1.4641778610305836, 1.5813120899130304, 1.6984463187954768, 1.8155805476779237, 1.9327147765603703, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cl_vector_htp,"[0.11829222673593891, 0.11802708862291679, 0.11749083086938893, 0.11667116105447514, 0.11554878070461794, 0.11409624407693514, 0.11227622932656206, 0.11003898489953198, 0.1073185519713055, 0.10402706830995252, 0.10004587853670505, 0.09521093665635078, 0.08928706845086969, 0.08191789397962394, 0.07251387135818171, 0.05994407361562273, 0.04132024107686559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
coef_k_htp,0.378557032503976
saved_ref_area,16.733110245324756
